,Sr. No.,Institute Code,Institute Name,CAP-I,CAP-II,CAP-III
260,"('261.', None)","('6293', None)","(""Kai Amdar Bramhadevdada Mane Shikshan & Samajik Prathistan's Bramhadevdada Mane Institute of Technology, Solapur"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6293.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6293.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6293.pdf')"
261,"('262.', None)","('6298', None)","(""Zeal Education Society's Zeal College of Engineering & Reserch, Narhe, Pune"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6298.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6298.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6298.pdf')"
262,"('263.', None)","('6303', None)","(""Dr. Ashok Gujar Technical Institute's Dr. Daulatrao Aher College of Engineering, Karad"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6303.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6303.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6303.pdf')"
263,"('264.', None)","('6304', None)","(""Loknete Hanumantrao Charitable Trust's Adarsh Institute of Technology and Research Centre, Vita,Sangli"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6304.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6304.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6304.pdf')"
264,"('265.', None)","('6305', None)","(""S.D.N.C.R.E.S'S.Late Narayandas Bhawandas Chhabada Institute of Engineering & Technology, Satara"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6305.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6305.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6305.pdf')"
265,"('266.', None)","('6307', None)","('Dhole Patil Education Society, Dhole Patil College of Engineering, Wagholi, Tal. Haveli', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6307.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6307.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6307.pdf')"
266,"('267.', None)","('6308', None)","('Shanti Education Society, A.G. Patil Institute of Technology, Soregaon, Solapur(North)', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6308.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6308.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6308.pdf')"
267,"('268.', None)","('6310', None)","('Nutan Maharashtra Vidya Prasarak Mandal, Nutan Maharashtra Institute of Engineering &Technology, Talegaon station, Pune', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6310.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6310.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6310.pdf')"
268,"('269.', None)","('6311', None)","('Jayawant Shikshan Prasarak Mandal, Bhivarabai Sawant Institute of Technology & Research, Wagholi', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6311.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6311.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6311.pdf')"
269,"('270.', None)","('6313', None)","('Jaywant College of Engineering & Polytechnic , Kille Macchindragad Tal. Walva District- Sangali', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6313.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6313.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6313.pdf')"
270,"('271.', None)","('6315', None)","(""Holy-Wood Academy's Sanjeevan Engineering and Technology Institute, Panhala"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6315.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6315.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6315.pdf')"
271,"('272.', None)","('6317', None)","('Sharad Institute of Technology College of Engineering, Yadrav(Ichalkaranji)', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6317.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6317.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6317.pdf')"
272,"('273.', None)","('6318', None)","(""Abhinav Education Society's College of Engineering and Technology (Degree), Wadwadi"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6318.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6318.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6318.pdf')"
273,"('274.', None)","('6319', None)","('Shahajirao Patil Vikas Pratishthan, S.B.Patil College of Engineering, Vangali, Tal. Indapur', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6319.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6319.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6319.pdf')"
274,"('275.', None)","('6320', None)","(""K.J.'s Educational Institute's K.J.College of Engineering & Management Research, Pisoli"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6320.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6320.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6320.pdf')"
275,"('276.', None)","('6321', None)","('Vidya Vikas Pratishthan Institute of Engineering and Technology, Solapur', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6321.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6321.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6321.pdf')"
276,"('277.', None)","('6322', None)","(""Shree Gajanan Maharaj Shikshan Prasarak Manda'l Sharadchandra Pawar College of Engineering, Dumbarwadi"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6322.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6322.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6322.pdf')"
277,"('278.', None)","('6324', None)","(""Rajgad Dnyanpeeth's Technical Campus,Dhangwadi, Bhor"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6324.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6324.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6324.pdf')"
278,"('279.', None)","('6325', None)","(""Alard Charitable Trust's Alard College of Engineering and Management, Pune"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6325.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6325.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6325.pdf')"
279,"('280.', None)","('6326', None)","('Karmayogi Institute of Technology', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6326.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6326.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6326.pdf')"
280,"('281.', None)","('6419', None)","('Nutan College of Engineering and Research, Talegaon Dabhade Tal. Maval, Pune', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6419.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6419.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6419.pdf')"
281,"('282.', None)","('6466', None)","('Shree Santkrupa Shikshan Sanstha, Shree Santkrupa Institute Of Engineering & Technology, Karad', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6466.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6466.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6466.pdf')"
282,"('283.', None)","('6545', None)","(""Samarth Education Trust's Arvind Gavali College Of Engineering Panwalewadi, Varye,Satara."", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6545.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6545.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6545.pdf')"
283,"('284.', None)","('6609', None)","('Jaihind College Of Engineering,Kuran', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6609.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6609.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6609.pdf')"
284,"('285.', None)","('6622', None)","('ISBM College Of Engineering Pune', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6622.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6622.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6622.pdf')"
285,"('286.', None)","('6625', None)","('Universal College of Engineering & Research, Sasewadi', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6625.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6625.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6625.pdf')"
286,"('287.', None)","('6628', None)","('Dattakala Group Of Institutions, Swami - Chincholi Tal. Daund Dist. Pune', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6628.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6628.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6628.pdf')"
287,"('288.', None)","('6632', None)","(""Navsahyadri Education Society's Group of Institutions"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6632.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6632.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6632.pdf')"
288,"('289.', None)","('6634', None)","(""KJEI's Trinity Academy of Engineering, Yewalewadi, Pune"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6634.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6634.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6634.pdf')"
289,"('290.', None)","('6635', None)","('Samarth Group of Institutions, Bangarwadi, Post Belhe Tal. Junnar Dist. Pune', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6635.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6635.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6635.pdf')"
290,"('291.', None)","('6640', None)","('N. B. Navale Sinhgad College of Engineering, Kegaon, solapur', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6640.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6640.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6640.pdf')"
291,"('292.', None)","('6643', None)","('S K N Sinhgad College of Engineering, Korti Tal. Pandharpur Dist Solapur', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6643.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6643.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6643.pdf')"
292,"('293.', None)","('6644', None)","(""Shri. Ambabai Talim Sanstha's Sanjay Bhokare Group of Institutes, Miraj"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6644.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6644.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6644.pdf')"
293,"('294.', None)","('6649', None)","(""TSSM's Bhivarabai Sawant College of Engineering and Research, Narhe, Pune"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6649.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6649.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6649.pdf')"
294,"('295.', None)","('6732', None)","('Ajeenkya DY Patil School of Engineering, Lohegaon, Pune', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6732.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6732.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6732.pdf')"
295,"('296.', None)","('6754', None)","('International Institute of Information Technology (IIT), Pune.', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6754.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6754.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6754.pdf')"
296,"('297.', None)","('6755', None)","('JSPM Narhe Technical Campus, Pune.', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6755.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6755.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6755.pdf')"
297,"('298.', None)","('6756', None)","('Fabtech Technical Campus College of Engineering and Research, Sangola', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6756.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6756.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6756.pdf')"
298,"('299.', None)","('6757', None)","('Yashoda Technical Campus, Wadhe, Satara.', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6757.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6757.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6757.pdf')"
299,"('300.', None)","('6758', None)","('Sahyadri Valley College of Engineering & Technology, Rajuri, Pune.', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6758.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6758.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6758.pdf')"
300,"('301.', None)","('6759', None)","('Shree Ramchandra College of Engineering, Lonikand,Pune', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6759.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6759.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6759.pdf')"
301,"('302.', None)","('6762', None)","('Nanasaheb Mahadik College of Engineering,Walwa, Sangli.', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6762.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6762.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6762.pdf')"
302,"('303.', None)","('6766', None)","(""Phaltan Education Society's College of Engineering Thakurki Tal- Phaltan Dist-Satara"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6766.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6766.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6766.pdf')"
303,"('304.', None)","('6767', None)","('Suman Ramesh Tulsiani Technical Campus Faculty of Engineering, Kamshet,Pune.', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6767.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6767.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6767.pdf')"
304,"('305.', None)","('6768', None)","('P.K. Technical Campus, Pune.', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6768.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6768.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6768.pdf')"
305,"('306.', None)","('6769', None)","('Rasiklal M. Dhariwal Sinhgad Technical Institutes Campus, Warje, Pune.', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6769.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6769.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6769.pdf')"
306,"('307.', None)","('6770', None)","('SKN Sinhgad Institute of Technology & Science, Kusgaon(BK),Pune.', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6770.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6770.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6770.pdf')"
307,"('308.', None)","('6772', None)","('NBN Sinhgad Technical Institutes Campus, Pune', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6772.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6772.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6772.pdf')"
308,"('309.', None)","('6780', None)","(""D.Y.Patil Education Society's,D.Y.Patil Technical Campus, Faculty of Engineering & Faculty of Management,Talsande,Kolhapur."", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6780.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6780.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6780.pdf')"
309,"('310.', None)","('6781', None)","('Bhagwant Institute of Technology, Barshi', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6781.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6781.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6781.pdf')"
310,"('311.', None)","('6782', None)","('Sahakar Maharshee Shankarrao Mohite Patil Institute of Technology & Research, Akluj', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6782.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6782.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6782.pdf')"
311,"('312.', None)","('6794', None)","('Anantrao Pawar College of Engineering & Research, Pune', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6794.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6794.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6794.pdf')"
312,"('313.', None)","('6795', None)","('Shri.Someshwar Shikshan Prasarak Mandal, Sharadchandra Pawar College of Engineering & Technology, Someshwar Nagar', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6795.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6795.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6795.pdf')"
313,"('314.', None)","('6796', None)","(""Bharati Vidyapeeth's College of Engineering,Lavale, Pune"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6796.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6796.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6796.pdf')"
314,"('315.', None)","('6797', None)","('Dnyanshree Institute Engineering and Technology, Satara', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6797.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6797.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6797.pdf')"
315,"('316.', None)","('6799', None)","('Shivganga Charitable Trust, Sangli Vishveshwarya Technical Campus, Faculty of Diploma Engineering, Patgaon, Miraj', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6799.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6799.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6799.pdf')"
316,"('317.', None)","('6802', None)","('Dr. D.Y.Patil Institute of Engineering, Management & Reseach, Akurdi, Pune', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6802.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6802.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6802.pdf')"
317,"('318.', None)","('6803', None)","('Sant Gajanan Maharaj College of Engineering, Gadhinglaj', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6803.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6803.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6803.pdf')"
318,"('319.', None)","('6808', None)","('Keystone School of Engineering, Pune', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6808.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6808.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6808.pdf')"
319,"('320.', None)","('6815', None)","(""Vidya Prasarini Sabha's College of Engineering & Technology, Lonavala"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6815.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6815.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6815.pdf')"
320,"('321.', None)","('6822', None)","(""Pimpri Chinchwad Education Trust's Pimpri Chinchwad College Of Engineering And Research, Ravet"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6822.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6822.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6822.pdf')"
321,"('322.', None)","('6834', None)","('Dr.D.Y.Patil College Of Engineering & Innovation,Talegaon', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6834.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6834.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6834.pdf')"
322,"('323.', None)","('6839', None)","(""Dr. D Y Patil Pratishthan's College of Engineering, Kolhapur"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6839.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6839.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6839.pdf')"
323,"('324.', None)","('6878', None)","('Dr. A. D. Shinde College Of Engineering, Tal.Gadhinglaj, Kolhapur', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6878.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6878.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6878.pdf')"
324,"('325.', None)","('6901', None)","(""MAEER's MIT College of Railway Engineering and Research, Jamgaon, Barshi"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6901.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6901.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6901.pdf')"
325,"('326.', None)","('6938', None)","(""Shree Siddheshwar Women's College Of Engineering Solapur."", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_6938.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_6938.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_6938.pdf')"
